epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
29,5454.15,0.91893,0.76422,1.10653,0.0246,0.70091,0.53616,0.59202,0.46171,0.82688,0.65706,1.07,0.01499,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,5641.34,0.91665,0.76513,1.10517,0.02479,0.72586,0.53259,0.59832,0.46608,0.82485,0.65047,1.06828,0.01492,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,5829.34,0.91352,0.75774,1.10436,0.02448,0.7308,0.52858,0.60031,0.46725,0.8227,0.64825,1.06744,0.01464,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,6016.72,0.90855,0.75466,1.1038,0.02415,0.73317,0.53269,0.60439,0.47124,0.82454,0.64564,1.06952,0.01467,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,6204.76,0.90904,0.75245,1.10032,0.0238,0.71769,0.536,0.602,0.47035,0.82002,0.6435,1.06639,0.01452,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,6393.13,0.91178,0.75313,1.10076,0.02407,0.73996,0.52577,0.60416,0.47259,0.82125,0.64061,1.06624,0.01451,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,6580.69,0.90618,0.74584,1.10127,0.02384,0.7295,0.53227,0.60413,0.47368,0.81872,0.63989,1.06513,0.01437,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,6768.43,0.90357,0.74269,1.09745,0.02367,0.71966,0.53987,0.60115,0.47078,0.81707,0.64123,1.0644,0.0144,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,6956.47,0.90635,0.74036,1.09907,0.02341,0.71804,0.53862,0.60334,0.47378,0.81444,0.63727,1.06256,0.01425,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,7143.91,0.90235,0.74068,1.09796,0.02337,0.74069,0.53037,0.60469,0.47439,0.81514,0.63818,1.06308,0.01432,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,7332.24,0.90272,0.7408,1.09697,0.02341,0.71985,0.53865,0.60604,0.476,0.81328,0.63686,1.06227,0.01423,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,7519.83,0.89818,0.73462,1.09648,0.02296,0.73381,0.53567,0.60915,0.47818,0.81263,0.63795,1.06153,0.01418,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,7707.36,0.90103,0.73782,1.09894,0.02334,0.74001,0.53671,0.60822,0.47824,0.81313,0.63752,1.06237,0.0142,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,7895.11,0.89858,0.73185,1.09525,0.02312,0.73471,0.53729,0.60733,0.4772,0.81277,0.63669,1.06196,0.01411,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,8083.37,0.90066,0.73414,1.09566,0.02322,0.73057,0.53967,0.6092,0.47816,0.81296,0.63577,1.06211,0.01402,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,8270.5,0.89008,0.72733,1.09508,0.02283,0.7295,0.53882,0.61048,0.4802,0.81264,0.63412,1.06193,0.01405,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,8458.27,0.90074,0.73302,1.09858,0.02318,0.72791,0.54274,0.61133,0.48045,0.8126,0.6346,1.06204,0.01402,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,8645.82,0.89005,0.72507,1.09219,0.02264,0.72621,0.54494,0.61251,0.48182,0.81161,0.63335,1.06142,0.014,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,8833.51,0.89471,0.72966,1.09632,0.02242,0.73315,0.54199,0.61356,0.48209,0.81133,0.63121,1.06102,0.01396,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,9022.52,0.89214,0.72588,1.09372,0.0228,0.72567,0.5465,0.61466,0.48286,0.81091,0.62992,1.06087,0.01393,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,9210.64,0.89253,0.72713,1.09423,0.02249,0.72845,0.54678,0.61575,0.48416,0.81106,0.62964,1.06108,0.01385,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,9400.66,0.89129,0.72031,1.09272,0.02236,0.72322,0.54875,0.61569,0.4843,0.81043,0.62879,1.06058,0.0138,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,9590.45,0.89273,0.72702,1.09507,0.02245,0.72526,0.54729,0.61586,0.48479,0.80994,0.62838,1.06028,0.01379,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,9781.37,0.88944,0.72147,1.09168,0.0226,0.73328,0.5436,0.61705,0.4856,0.80976,0.62868,1.06019,0.01377,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,9971.24,0.88743,0.71825,1.09066,0.02242,0.73349,0.54139,0.61752,0.48635,0.80952,0.62845,1.06008,0.01378,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,10160.7,0.88464,0.71259,1.09098,0.02185,0.74357,0.53804,0.61808,0.48707,0.80899,0.62807,1.05977,0.01372,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,10351.9,0.87691,0.709,1.08705,0.02166,0.73567,0.5425,0.61818,0.48719,0.80874,0.6276,1.05965,0.01373,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,10541.4,0.88336,0.71141,1.09114,0.02183,0.73223,0.54455,0.61839,0.4873,0.80862,0.62808,1.05954,0.01373,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,10730.9,0.87907,0.70683,1.08881,0.0215,0.73497,0.54271,0.61782,0.48715,0.80822,0.62775,1.0593,0.01372,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
