epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
29,11527,0.75231,0.59077,1.0135,0.01571,0.74503,0.61831,0.67899,0.56592,0.66561,0.49813,0.97742,0.00838,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,11943.6,0.75422,0.59035,1.01389,0.01608,0.7497,0.62422,0.68453,0.57088,0.66468,0.49137,0.97657,0.00838,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,12348.1,0.74965,0.58345,1.01357,0.01562,0.74815,0.62278,0.68515,0.57171,0.66493,0.49328,0.97669,0.00836,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,12753.5,0.74638,0.58381,1.01399,0.01536,0.77107,0.6182,0.69259,0.57855,0.66401,0.48761,0.97681,0.00835,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,13167.9,0.74772,0.58263,1.01247,0.0153,0.75712,0.61671,0.68814,0.57509,0.66299,0.49025,0.97668,0.00826,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,13580.4,0.74678,0.57948,1.01007,0.01548,0.75968,0.6241,0.69078,0.57745,0.66155,0.49123,0.97529,0.00831,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,13978.6,0.74253,0.57423,1.01126,0.01515,0.75845,0.62831,0.69339,0.58004,0.6596,0.48627,0.97473,0.00822,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,14359.9,0.74261,0.57519,1.0089,0.01508,0.75214,0.63275,0.6916,0.57869,0.65919,0.4878,0.97449,0.00826,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,14783,0.74209,0.57106,1.00873,0.0151,0.75061,0.6248,0.68708,0.57572,0.65824,0.48965,0.97317,0.00817,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,15168.9,0.74028,0.57137,1.00964,0.01499,0.74781,0.62974,0.68922,0.57756,0.65793,0.48724,0.97287,0.0082,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
